text,words,tokens,group,complexity,source,length_matched
Patient presents with headache. No night sweats. No bleeding. No syncope. No weight loss. Vital signs stable. Cranial nerves intact. Cardiovascular exam normal.,23,29,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with diarrhea. No bleeding. No chills. No syncope. No confusion. Vital signs stable. Temperature normal. Neurological exam normal.,20,26,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with cough. No focal deficits. No vomiting. No dyspnea. No fever. Vital signs stable. Sensory intact. Abdominal exam normal.,21,27,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with bleeding. No night sweats. No weakness. No confusion. No recent illness. Vital signs stable. Blood pressure normal. Skin exam normal.,23,29,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with anxiety. No weakness. No fever. No recent illness. No vision changes. Vital signs stable. Heart rate normal. Extremities exam normal.,23,29,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with palpitations. No neck stiffness. No photophobia. No chest pain. No nausea. Vital signs stable. Skin exam normal. Respiratory exam normal.,23,29,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with cough. No focal deficits. No nausea. No recent illness. No confusion. Vital signs stable. Sensory intact. Motor strength 5/5.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with abdominal pain. No chest pain. No weight loss. No bleeding. No vision changes. Vital signs stable. Skin exam normal. Cranial nerves intact.,25,32,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with fatigue. No bleeding. No focal deficits. No seizures. No trauma. Vital signs stable. Respiratory rate normal. Cranial nerves intact.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with anxiety. No weight loss. No recent illness. No fever. No vision changes. Vital signs stable. Motor strength 5/5. Respiratory rate normal.,24,31,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with weakness. No night sweats. No photophobia. No chills. No trauma. Vital signs stable. No focal deficits. Cranial nerves intact.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with syncope. No focal deficits. No syncope. No seizures. No fever. Vital signs stable. Extremities exam normal. Cardiovascular exam normal.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with joint pain. No focal deficits. No nausea. No vomiting. No confusion. Vital signs stable. Blood pressure normal. Temperature normal.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with dizziness. No bleeding. No palpitations. No vomiting. No recent illness. Vital signs stable. Sensory intact. Temperature normal.,20,26,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with constipation. No weakness. No trauma. No syncope. No vision changes. Vital signs stable. Heart rate normal. Temperature normal.,21,27,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with abdominal pain. No fever. No confusion. No night sweats. No nausea. Vital signs stable. Respiratory exam normal. Abdominal exam normal.,23,29,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with confusion. No dyspnea. No syncope. No recent illness. No palpitations. Vital signs stable. Skin exam normal. Blood pressure normal.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with weakness. No vomiting. No photophobia. No trauma. No nausea. Vital signs stable. Heart rate normal. Temperature normal.,20,26,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with rash. No focal deficits. No vomiting. No chills. No photophobia. Vital signs stable. Temperature normal. Extremities exam normal.,21,27,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with diarrhea. No syncope. No dyspnea. No neck stiffness. No trauma. Vital signs stable. Gait normal. Neurological exam normal.,21,27,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with bleeding. No weight loss. No weakness. No dyspnea. No chills. Vital signs stable. Oxygen saturation normal. Extremities exam normal.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with seizure. No chest pain. No trauma. No photophobia. No weakness. Vital signs stable. Respiratory rate normal. Heart rate normal.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with headache. No neck stiffness. No dyspnea. No photophobia. No nausea. Vital signs stable. Extremities exam normal. Cardiovascular exam normal.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with constipation. No chest pain. No bleeding. No palpitations. No focal deficits. Vital signs stable. Oxygen saturation normal. Neurological exam normal.,23,29,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with cough. No weight loss. No night sweats. No bleeding. No vomiting. Vital signs stable. Neurological exam normal. Heart rate normal.,23,29,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with swelling. No photophobia. No syncope. No recent illness. No nausea. Vital signs stable. Extremities exam normal. Temperature normal.,21,27,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with back pain. No vomiting. No bleeding. No seizures. No vision changes. Vital signs stable. Cranial nerves intact. Oxygen saturation normal.,23,29,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with seizure. No weight loss. No vomiting. No chills. No nausea. Vital signs stable. Cardiovascular exam normal. Skin exam normal.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with palpitations. No syncope. No vision changes. No chills. No weakness. Vital signs stable. Cranial nerves intact. Skin exam normal.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with confusion. No confusion. No trauma. No vision changes. No weight loss. Vital signs stable. Respiratory exam normal. Sensory intact.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with back pain. No chest pain. No weakness. No vision changes. No seizures. Vital signs stable. Reflexes 2+ symmetric. No focal deficits.,24,31,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with rash. No chills. No seizures. No photophobia. No vomiting. Vital signs stable. Neurological exam normal. Temperature normal.,20,26,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with weight loss. No night sweats. No weakness. No photophobia. No bleeding. Vital signs stable. Abdominal exam normal. Temperature normal.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with constipation. No nausea. No trauma. No focal deficits. No neck stiffness. Vital signs stable. Motor strength 5/5. Cardiovascular exam normal.,23,29,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with tingling. No fever. No photophobia. No night sweats. No seizures. Vital signs stable. Oxygen saturation normal. Cranial nerves intact.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with weakness. No weight loss. No neck stiffness. No chills. No weakness. Vital signs stable. Reflexes 2+ symmetric. Temperature normal.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with weakness. No chest pain. No focal deficits. No trauma. No weight loss. Vital signs stable. Neurological exam normal. Oxygen saturation normal.,24,31,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with anxiety. No confusion. No recent illness. No weakness. No seizures. Vital signs stable. Cranial nerves intact. Heart rate normal.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with nausea. No seizures. No weight loss. No nausea. No night sweats. Vital signs stable. Cranial nerves intact. Respiratory exam normal.,23,29,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with chest pain. No bleeding. No focal deficits. No chest pain. No dyspnea. Vital signs stable. Gait normal. Reflexes 2+ symmetric.,23,29,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with numbness. No fever. No recent illness. No vision changes. No vomiting. Vital signs stable. No focal deficits. Abdominal exam normal.,23,29,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with weight loss. No night sweats. No neck stiffness. No photophobia. No confusion. Vital signs stable. Motor strength 5/5. No focal deficits.,24,31,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with rash. No neck stiffness. No nausea. No focal deficits. No night sweats. Vital signs stable. Motor strength 5/5. Respiratory exam normal.,24,31,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with syncope. No dyspnea. No chest pain. No neck stiffness. No seizures. Vital signs stable. Gait normal. Blood pressure normal.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with syncope. No weakness. No syncope. No confusion. No weight loss. Vital signs stable. Temperature normal. Abdominal exam normal.,21,27,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with dizziness. No weakness. No confusion. No neck stiffness. No chest pain. Vital signs stable. Respiratory rate normal. Respiratory exam normal.,23,29,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with confusion. No vision changes. No vomiting. No seizures. No photophobia. Vital signs stable. Gait normal. Cardiovascular exam normal.,21,27,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with vision changes. No confusion. No palpitations. No trauma. No weight loss. Vital signs stable. Heart rate normal. Oxygen saturation normal.,23,29,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with vision changes. No neck stiffness. No confusion. No weakness. No focal deficits. Vital signs stable. Heart rate normal. Oxygen saturation normal.,24,31,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with chest pain. No confusion. No night sweats. No recent illness. No focal deficits. Vital signs stable. Motor strength 5/5. Blood pressure normal.,25,32,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with numbness. No chills. No nausea. No bleeding. No syncope. Vital signs stable. Gait normal. No focal deficits.,20,26,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with cough. No weight loss. No palpitations. No weakness. No confusion. Vital signs stable. No focal deficits. Abdominal exam normal.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with cough. No vision changes. No syncope. No nausea. No weight loss. Vital signs stable. Motor strength 5/5. No focal deficits.,23,29,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with fever. No vomiting. No trauma. No bleeding. No focal deficits. Vital signs stable. No focal deficits. Sensory intact.,21,27,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with weight loss. No weakness. No vomiting. No confusion. No seizures. Vital signs stable. Heart rate normal. Respiratory rate normal.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with abdominal pain. No seizures. No weakness. No photophobia. No trauma. Vital signs stable. Sensory intact. No focal deficits.,21,27,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with rash. No fever. No focal deficits. No palpitations. No weight loss. Vital signs stable. Gait normal. Motor strength 5/5.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with rash. No neck stiffness. No recent illness. No vomiting. No palpitations. Vital signs stable. Oxygen saturation normal. Abdominal exam normal.,23,29,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with palpitations. No weight loss. No nausea. No chills. No palpitations. Vital signs stable. Abdominal exam normal. Cardiovascular exam normal.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with headache. No trauma. No neck stiffness. No focal deficits. No vomiting. Vital signs stable. No focal deficits. Blood pressure normal.,23,29,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with weakness. No bleeding. No vision changes. No palpitations. No chest pain. Vital signs stable. Respiratory rate normal. Oxygen saturation normal.,23,29,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with confusion. No neck stiffness. No night sweats. No recent illness. No palpitations. Vital signs stable. Cranial nerves intact. Abdominal exam normal.,24,31,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with seizure. No dyspnea. No bleeding. No palpitations. No seizures. Vital signs stable. Neurological exam normal. Cranial nerves intact.,21,27,lengthcontrol_synth_moderate_simple,simple,synthetic,True
Patient presents with bleeding. No photophobia. No seizures. No night sweats. No chills. Vital signs stable. Cranial nerves intact. Motor strength 5/5.,22,28,lengthcontrol_synth_moderate_simple,simple,synthetic,True
