text,words,tokens,group,complexity,source,length_matched,specialty
"viral.,2 hypoxia.,3 arthritis.,4 adrenal insufficiency avelox augmentin stool azithromycin methotrexate remicade remicade rocephin iv azithromycin azithromycin dr prednisone adrenal prednisone methotrexate methotrexate",22,28,mt_samples_moderate,moderate,real_mt,False, General Medicine
bowel demerol 75 rectal prostate cecum cecum colon hepatic flexure transverse colon splenic flexure descending colon sigmoid colon rectum normal rectum bowel,22,28,mt_samples_moderate,moderate,real_mt,False, Gastroenterology
"stone stones abdomen pelvis renal stone stone ureteral ureter bladder renal perinephric stranding bowel pelvis lung liver spleen pancreas gallbladder abdominal obstruction.,2",22,28,mt_samples_moderate,moderate,real_mt,False, Nephrology
atropine patient intravenously cetacaine spray esophagus duodenum upper esophagus stomach anterior posterior wall body antrum pylorus duodenal bulb duodenum tumor antrum biopsy,22,28,mt_samples_moderate,moderate,real_mt,False, Surgery
nuclear lymphatic breast cancer mci technetium-99m sulfur colloid injected within dermis axilla lymph node axillary lymph nodes lymph node axilla lymph node,22,28,mt_samples_moderate,moderate,real_mt,False, Radiology
abdomen pelvis abdomen pelvis isovue 300 abdomen lung liver gallbladder spleen pancreas bilateral adrenal/kidneys aorta caliber retroperitoneal pelvis colon small bowel bladder,22,28,mt_samples_moderate,moderate,real_mt,False, Gastroenterology
inguinal inguinal marcaine trocar sites skin umbilicus muscle muscle peritoneum carbon dioxide sac cord sac peritoneal cavity femoral cord wound skin patient,22,28,mt_samples_moderate,moderate,real_mt,False, Surgery
tendon basket posterior leg aspirin cardiovascular disease pulmonary nkda petroleum tobacco gentleman subtalar chopart forefoot calf joint blood vessel tendon boot aspirin,22,28,mt_samples_moderate,moderate,real_mt,False, Orthopedic
fetal intrauterine fetus cardiac fetal bpd abdomen fetal amniotic fluid fetal placenta posterofundal grade 2 intrauterine 8/04/05 fetal 2/11/05 4/04/05 ventricle ventricle,22,28,mt_samples_moderate,moderate,real_mt,False, Radiology
blood organ uterus adnexa patient vagina cervix uterine marcaine 2 gas insufflated abdominal cavity marcaine tube abdomen skin edge vagina patient blood,22,28,mt_samples_moderate,moderate,real_mt,False, Obstetrics / Gynecology
blood organ uterus adnexa patient vagina cervix uterine marcaine 2 gas insufflated abdominal cavity marcaine tube abdomen skin edge vagina patient blood,22,28,mt_samples_moderate,moderate,real_mt,False, Surgery
"patient patient patient posterior pharynx cetacaine posterior pharynx ventricle ventricle function.,3 left atrium right atrium aortic valve mitral foramen patient n.p.o foramen",22,28,mt_samples_moderate,moderate,real_mt,False, Cardiovascular / Pulmonary
abdomen ros gentleman c-spine ems blood right fronto-parietal oro-pharynx hematoma heart alcohol extremity cranial nerve patient cbc chem-7 u/a urine blood alcohol,22,28,mt_samples_moderate,moderate,real_mt,False, Emergency Room Reports
specimens xx-year-old man eye eye patient eye patient cardiac endotracheal patient wound skin gut suture punctum monoka tube seater tube patient blood,22,28,mt_samples_moderate,moderate,real_mt,False, Surgery
epidural patient patient patient skin betadine swab subcutaneous intramuscular spinal needle oblique lateral needle posterior spinal omnipaque 300 1 patient needle patient,22,28,mt_samples_moderate,moderate,real_mt,False, Pain Management
crease superficial aponeurosis subcutaneous fat superficial aponeurosis leaf leaf ulnarly antebrachial fascia wound saline radial leaf leaf skin marcaine epinephrine wound patient,22,28,mt_samples_moderate,moderate,real_mt,False, Orthopedic
"9-month-old vaginal anterior fontanel conjunctivae reactive light nares turbinate edema cardiovascular regular abdomen bowel organomegaly penis extremities tibial skin handout.,2 molluscum time.,3",22,28,mt_samples_moderate,moderate,real_mt,False, Pediatrics - Neonatal
