text,words,tokens,group,complexity,source,length_matched
18yo female presents with dyspnea.,5,6,synthetic_simple,simple,synthetic,False
32yo male with nausea.,4,5,synthetic_simple,simple,synthetic,False
68yo male presents with constipation.,5,6,synthetic_simple,simple,synthetic,False
Presents with confusion.,3,3,synthetic_simple,simple,synthetic,False
Patient presents with dizziness.,4,5,synthetic_simple,simple,synthetic,False
Presents with dizziness.,3,3,synthetic_simple,simple,synthetic,False
71yo female with anxiety.,4,5,synthetic_simple,simple,synthetic,False
Patient presents with diarrhea.,4,5,synthetic_simple,simple,synthetic,False
52yo female presents with confusion.,5,6,synthetic_simple,simple,synthetic,False
85yo female with dizziness.,4,5,synthetic_simple,simple,synthetic,False
Patient presents with abdominal pain.,5,6,synthetic_simple,simple,synthetic,False
Chief complaint: swelling.,3,3,synthetic_simple,simple,synthetic,False
Patient presents with constipation.,4,5,synthetic_simple,simple,synthetic,False
female patient reports abdominal pain.,5,6,synthetic_simple,simple,synthetic,False
90yo female presents with hearing loss.,6,7,synthetic_simple,simple,synthetic,False
Presents with dizziness.,3,3,synthetic_simple,simple,synthetic,False
Patient presents with seizure.,4,5,synthetic_simple,simple,synthetic,False
Patient presents with swelling.,4,5,synthetic_simple,simple,synthetic,False
female patient reports back pain.,5,6,synthetic_simple,simple,synthetic,False
52yo male with rash.,4,5,synthetic_simple,simple,synthetic,False
80yo male presents with back pain.,6,7,synthetic_simple,simple,synthetic,False
Presents with tremor.,3,3,synthetic_simple,simple,synthetic,False
58yo female with anxiety.,4,5,synthetic_simple,simple,synthetic,False
68yo male presents with insomnia.,5,6,synthetic_simple,simple,synthetic,False
90yo male presents with joint pain.,6,7,synthetic_simple,simple,synthetic,False
18yo female with weight loss.,5,6,synthetic_simple,simple,synthetic,False
male patient reports back pain.,5,6,synthetic_simple,simple,synthetic,False
Presents with numbness.,3,3,synthetic_simple,simple,synthetic,False
62yo female with tremor.,4,5,synthetic_simple,simple,synthetic,False
32yo female presents with anxiety.,5,6,synthetic_simple,simple,synthetic,False
80yo female with nausea.,4,5,synthetic_simple,simple,synthetic,False
58yo female presents with vision changes.,6,7,synthetic_simple,simple,synthetic,False
Chief complaint: nausea.,3,3,synthetic_simple,simple,synthetic,False
Patient presents with diarrhea.,4,5,synthetic_simple,simple,synthetic,False
32yo female with tremor.,4,5,synthetic_simple,simple,synthetic,False
Presents with abdominal pain.,4,5,synthetic_simple,simple,synthetic,False
Presents with anxiety.,3,3,synthetic_simple,simple,synthetic,False
Presents with swelling.,3,3,synthetic_simple,simple,synthetic,False
68yo female presents with numbness.,5,6,synthetic_simple,simple,synthetic,False
25yo female presents with joint pain.,6,7,synthetic_simple,simple,synthetic,False
male patient reports cough.,4,5,synthetic_simple,simple,synthetic,False
80yo female presents with numbness.,5,6,synthetic_simple,simple,synthetic,False
Presents with diarrhea.,3,3,synthetic_simple,simple,synthetic,False
