text,words,tokens,group,complexity,source,length_matched,original_text,original_words
patient patient patient patient No vomiting. No weight loss. No dyspnea. No chest pain. No chills. No focal deficits. No weakness. No trauma. No vision changes. No bleeding. Oxygen saturation 98%. Blood pressure 120/80. Temperature normal. Heart rate normal. Respiratory rate 16. HEENT normal. Abdominal exam normal. No focal deficits noted. Respiratory exam normal. Sensory exam intact. Extremities exam normal.,60,78,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,patient patient patient patient,4
patient 03/11/2008 3rd ventricular patient subdural patient head No weight loss. No bleeding. No night sweats. No weakness. No vomiting. No syncope. No vision changes. No palpitations. No trauma. No focal deficits. Temperature normal. Blood pressure 120/80. Oxygen saturation 98%. Temperature 98.6F. Heart rate 72. Neurological exam normal. Abdominal exam normal. Extremities exam normal. Gait normal. Skin exam normal.,59,76,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,patient 03/11/2008 3rd ventricular patient subdural patient head,8
41-year-old body eye body No confusion. No bleeding. No weakness. No chest pain. No night sweats. No palpitations. No nausea. No photophobia. No weight loss. No dyspnea. Blood pressure normal. Heart rate normal. Blood pressure 120/80. Respiratory rate 16. Temperature normal. Cardiovascular exam normal. No focal deficits noted. Respiratory exam normal. Reflexes 2+ symmetric. Gait normal. Skin exam normal.,59,76,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,41-year-old body eye body,4
patient blood 120/63 No photophobia. No chest pain. No nausea. No dyspnea. No trauma. No weakness. No night sweats. No fever. No weight loss. No confusion. Oxygen saturation 98%. Temperature normal. Respiratory rate 16. Temperature 98.6F. Blood pressure 120/80. Reflexes 2+ symmetric. Respiratory exam normal. Cranial nerves intact. Vital signs stable. Sensory exam intact. Motor strength 5/5 throughout.,58,75,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,patient blood 120/63,3
 No vision changes. No weight loss. No nausea. No syncope. No chills. No recent illness. No bleeding. No fever. No photophobia. No trauma. Blood pressure 120/80. Temperature 98.6F. Respiratory rate 16. Temperature normal. Oxygen saturation 98%. Respiratory exam normal. Motor strength 5/5 throughout. Cardiovascular exam normal. Skin exam normal. Cranial nerves intact. Extremities exam normal. HEENT normal.,57,74,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,,0
abc boy propofol patient patient patient lateral patient No palpitations. No neck stiffness. No weakness. No recent illness. No vomiting. No focal deficits. No weight loss. No chills. No bleeding. No photophobia. Blood pressure 120/80. Blood pressure normal. Temperature 98.6F. Heart rate 72. Respiratory rate 16. Cranial nerves intact. Respiratory exam normal. Extremities exam normal. Neurological exam normal. Reflexes 2+ symmetric.,61,79,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,abc boy propofol patient patient patient lateral patient,8
rhm 11/5/96 calf foot cbc tsh ft4 l-spine No chest pain. No photophobia. No recent illness. No fever. No dyspnea. No weakness. No vomiting. No focal deficits. No weight loss. No seizures. Respiratory rate 16. Blood pressure normal. Heart rate normal. Oxygen saturation 98%. Blood pressure 120/80. Vital signs stable. No focal deficits noted. Extremities exam normal. Respiratory exam normal.,60,78,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,rhm 11/5/96 calf foot cbc tsh ft4 l-spine,8
cervical lumbar paraspinal musculature No weakness. No neck stiffness. No bleeding. No nausea. No photophobia. No chills. No vomiting. No palpitations. No confusion. No focal deficits. Blood pressure 120/80. Temperature 98.6F. Heart rate 72. Blood pressure normal. Heart rate normal. No focal deficits noted. Cardiovascular exam normal. Neurological exam normal. Reflexes 2+ symmetric. Vital signs stable. HEENT normal.,58,75,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,cervical lumbar paraspinal musculature,4
 No trauma. No chest pain. No weight loss. No vision changes. No recent illness. No nausea. No weakness. No seizures. No syncope. No bleeding. Heart rate 72. Blood pressure normal. Blood pressure 120/80. Respiratory rate 16. Oxygen saturation 98%. No focal deficits noted. Extremities exam normal. Motor strength 5/5 throughout. Sensory exam intact. Neurological exam normal. Cranial nerves intact.,59,76,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,,0
 No focal deficits. No weight loss. No fever. No recent illness. No chills. No neck stiffness. No vision changes. No trauma. No dyspnea. No syncope. Heart rate normal. Respiratory rate 16. Blood pressure normal. Blood pressure 120/80. Temperature normal. Gait normal. Cranial nerves intact. Neurological exam normal. No focal deficits noted. Extremities exam normal. Sensory exam intact.,57,74,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,,0
patient anus colon mucosa rectum No weakness. No nausea. No recent illness. No night sweats. No vision changes. No bleeding. No chills. No focal deficits. No photophobia. No weight loss. Heart rate normal. Blood pressure 120/80. Blood pressure normal. Temperature normal. Heart rate 72. Skin exam normal. Cranial nerves intact. Respiratory exam normal. Lungs clear bilaterally. Extremities exam normal.,59,76,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,patient anus colon mucosa rectum,5
bronchoscopy bronchoalveolar lavage 69-year-old bronchoscopy patient endotracheal tube bronchoscope patient No syncope. No dyspnea. No palpitations. No vomiting. No vision changes. No bleeding. No confusion. No seizures. No weakness. No photophobia. Temperature 98.6F. Blood pressure normal. Respiratory rate 16. Blood pressure 120/80. Oxygen saturation 98%. HEENT normal. Neurological exam normal. Lungs clear bilaterally. Skin exam normal. No focal deficits noted.,60,78,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,bronchoscopy bronchoalveolar lavage 69-year-old bronchoscopy patient endotracheal tube bronchoscope patient,10
right bone marrow bone joint tendinous joint joint right No chest pain. No weakness. No photophobia. No fever. No vision changes. No seizures. No focal deficits. No bleeding. No confusion. No syncope. Heart rate normal. Temperature normal. Blood pressure normal. Blood pressure 120/80. Temperature 98.6F. Sensory exam intact. Abdominal exam normal. Extremities exam normal. Neurological exam normal. Lungs clear bilaterally.,60,78,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,right bone marrow bone joint tendinous joint joint right,9
patient patient woman macular eye patient No focal deficits. No bleeding. No weakness. No seizures. No weight loss. No palpitations. No fever. No confusion. No night sweats. No dyspnea. Heart rate 72. Heart rate normal. Temperature 98.6F. Oxygen saturation 98%. Temperature normal. No focal deficits noted. Skin exam normal. Motor strength 5/5 throughout. Sensory exam intact. Gait normal. Lungs clear bilaterally.,61,79,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,patient patient woman macular eye patient,6
 No trauma. No night sweats. No recent illness. No confusion. No neck stiffness. No chest pain. No dyspnea. No weakness. No focal deficits. No syncope. Blood pressure 120/80. Heart rate 72. Heart rate normal. Oxygen saturation 98%. Respiratory rate 16. Neurological exam normal. Cardiovascular exam normal. Gait normal. Reflexes 2+ symmetric. Vital signs stable. Lungs clear bilaterally.,57,74,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,,0
biopsy 44-year-old man coffee-ground patient fentanyl 75 patient patient mouth No focal deficits. No bleeding. No dyspnea. No palpitations. No syncope. No confusion. No nausea. No seizures. No weakness. No photophobia. Heart rate 72. Blood pressure 120/80. Temperature normal. Blood pressure normal. Heart rate normal. Reflexes 2+ symmetric. Neurological exam normal. Abdominal exam normal. Cranial nerves intact. Lungs clear bilaterally.,60,78,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,biopsy 44-year-old man coffee-ground patient fentanyl 75 patient patient mouth,10
patient midline scrotal tissue wound wound No palpitations. No seizures. No syncope. No recent illness. No night sweats. No vomiting. No dyspnea. No neck stiffness. No fever. No confusion. Heart rate normal. Blood pressure 120/80. Temperature 98.6F. Oxygen saturation 98%. Respiratory rate 16. Motor strength 5/5 throughout. Reflexes 2+ symmetric. Abdominal exam normal. Vital signs stable. Respiratory exam normal.,59,76,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,patient midline scrotal tissue wound wound,6
ovarian ovarian patient abdomen abdomen ovarian patient No dyspnea. No fever. No trauma. No bleeding. No chills. No vomiting. No recent illness. No nausea. No weakness. No chest pain. Blood pressure normal. Blood pressure 120/80. Heart rate normal. Respiratory rate 16. Oxygen saturation 98%. Cardiovascular exam normal. Lungs clear bilaterally. Skin exam normal. Motor strength 5/5 throughout. Respiratory exam normal.,60,78,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,ovarian ovarian patient abdomen abdomen ovarian patient,7
wound wound wound wound 1 layer staple epinephrine patient No focal deficits. No photophobia. No chest pain. No nausea. No dyspnea. No palpitations. No neck stiffness. No trauma. No bleeding. No seizures. Temperature normal. Blood pressure 120/80. Temperature 98.6F. Oxygen saturation 98%. Respiratory rate 16. Sensory exam intact. Skin exam normal. Gait normal. Reflexes 2+ symmetric. HEENT normal.,58,75,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,wound wound wound wound 1 layer staple epinephrine patient,9
"syndrome.,2 No chills. No vomiting. No dyspnea. No trauma. No vision changes. No nausea. No photophobia. No recent illness. No weight loss. No confusion. Heart rate 72. Respiratory rate 16. Blood pressure 120/80. Temperature normal. Heart rate normal. Sensory exam intact. Skin exam normal. Motor strength 5/5 throughout. Neurological exam normal. HEENT normal. Abdominal exam normal. Extremities exam normal.",59,76,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,"syndrome.,2",1
patient admission/chief patient patient patient eczema leg eczema patient patient No weight loss. No vision changes. No confusion. No nausea. No vomiting. No night sweats. No syncope. No seizures. No photophobia. No chest pain. Temperature 98.6F. Heart rate 72. Blood pressure 120/80. Heart rate normal. Temperature normal. Respiratory exam normal. Cardiovascular exam normal. Sensory exam intact. HEENT normal.,58,75,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,patient admission/chief patient patient patient eczema leg eczema patient patient,10
 No nausea. No confusion. No seizures. No syncope. No focal deficits. No vision changes. No chills. No photophobia. No dyspnea. No palpitations. Blood pressure normal. Heart rate normal. Temperature normal. Temperature 98.6F. Heart rate 72. Cranial nerves intact. Neurological exam normal. Lungs clear bilaterally. No focal deficits noted. Reflexes 2+ symmetric. Abdominal exam normal. Sensory exam intact.,57,74,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,,0
patient No neck stiffness. No fever. No chest pain. No focal deficits. No nausea. No weakness. No weight loss. No palpitations. No trauma. No photophobia. Blood pressure normal. Heart rate normal. Temperature 98.6F. Blood pressure 120/80. Oxygen saturation 98%. Sensory exam intact. Lungs clear bilaterally. Motor strength 5/5 throughout. Skin exam normal. Cranial nerves intact. HEENT normal.,57,74,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,patient,1
"fiberoptic bronchoscopy lidocaine 2 phenergan p.o 1 procedure.,2 No photophobia. No fever. No syncope. No bleeding. No vision changes. No chills. No weight loss. No night sweats. No nausea. No trauma. Temperature normal. Blood pressure 120/80. Temperature 98.6F. Heart rate normal. Heart rate 72. Vital signs stable. Respiratory exam normal. Gait normal. Cranial nerves intact. No focal deficits noted.",59,76,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,"fiberoptic bronchoscopy lidocaine 2 phenergan p.o 1 procedure.,2",8
patient blood penicillin blood abdomen extremities cell gram-stain patient patient No focal deficits. No recent illness. No confusion. No chest pain. No neck stiffness. No syncope. No weakness. No bleeding. No dyspnea. No photophobia. Blood pressure 120/80. Heart rate normal. Blood pressure normal. Temperature 98.6F. Temperature normal. Extremities exam normal. Neurological exam normal. Motor strength 5/5 throughout. Reflexes 2+ symmetric.,60,78,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,patient blood penicillin blood abdomen extremities cell gram-stain patient patient,10
"spine paraspinal intervertebral tissue changes.,3 renal No dyspnea. No chills. No night sweats. No weakness. No vision changes. No fever. No neck stiffness. No seizures. No nausea. No confusion. Oxygen saturation 98%. Blood pressure normal. Heart rate normal. Respiratory rate 16. Heart rate 72. Sensory exam intact. Gait normal. Neurological exam normal. Abdominal exam normal. Motor strength 5/5 throughout.",59,76,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,"spine paraspinal intervertebral tissue changes.,3 renal",6
eye No dyspnea. No vision changes. No weakness. No focal deficits. No nausea. No neck stiffness. No syncope. No bleeding. No night sweats. No confusion. Blood pressure 120/80. Temperature 98.6F. Heart rate normal. Heart rate 72. Oxygen saturation 98%. Extremities exam normal. No focal deficits noted. Cranial nerves intact. Respiratory exam normal. Gait normal. Cardiovascular exam normal.,57,74,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,eye,1
patient oral scrotum prepped skin skin tylenol codeine semen No weakness. No nausea. No chills. No vomiting. No fever. No vision changes. No confusion. No dyspnea. No photophobia. No neck stiffness. Heart rate normal. Heart rate 72. Temperature normal. Blood pressure normal. Oxygen saturation 98%. Gait normal. Cranial nerves intact. Vital signs stable. Skin exam normal. Extremities exam normal.,59,76,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,patient oral scrotum prepped skin skin tylenol codeine semen,9
rectal No weight loss. No syncope. No chills. No neck stiffness. No recent illness. No night sweats. No vomiting. No weakness. No seizures. No palpitations. Blood pressure normal. Temperature normal. Oxygen saturation 98%. Respiratory rate 16. Heart rate normal. No focal deficits noted. Abdominal exam normal. Lungs clear bilaterally. Skin exam normal. Motor strength 5/5 throughout. Reflexes 2+ symmetric.,59,76,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,rectal,1
foreskin foreskin foreskin patient penis penile shaft raphe scrotum raphe No palpitations. No confusion. No bleeding. No weakness. No night sweats. No trauma. No vision changes. No weight loss. No neck stiffness. No seizures. Heart rate 72. Blood pressure normal. Oxygen saturation 98%. Blood pressure 120/80. Neurological exam normal. No focal deficits noted. Cardiovascular exam normal. Abdominal exam normal. Cranial nerves intact.,62,80,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,foreskin foreskin foreskin patient penis penile shaft raphe scrotum raphe,10
patient granulation tissue border medial man ingrown nail No focal deficits. No weakness. No palpitations. No nausea. No weight loss. No photophobia. No seizures. No confusion. No trauma. No bleeding. Blood pressure 120/80. Respiratory rate 16. Oxygen saturation 98%. Temperature 98.6F. Heart rate 72. Skin exam normal. Neurological exam normal. Extremities exam normal. Respiratory exam normal. Vital signs stable.,59,76,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,patient granulation tissue border medial man ingrown nail,8
abc boy propofol patient patient patient lateral patient No vision changes. No vomiting. No recent illness. No weakness. No focal deficits. No trauma. No seizures. No weight loss. No chest pain. No nausea. Temperature normal. Respiratory rate 16. Oxygen saturation 98%. Blood pressure 120/80. Blood pressure normal. Vital signs stable. Abdominal exam normal. Respiratory exam normal. Cardiovascular exam normal.,59,76,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,abc boy propofol patient patient patient lateral patient,8
smooth-walled 13x12x7 surface wall papillary cyst wall No photophobia. No focal deficits. No palpitations. No vomiting. No chills. No neck stiffness. No weakness. No fever. No trauma. No syncope. Heart rate normal. Blood pressure normal. Oxygen saturation 98%. Respiratory rate 16. Blood pressure 120/80. Neurological exam normal. HEENT normal. Cranial nerves intact. Sensory exam intact. Motor strength 5/5 throughout.,59,76,lengthcontrol_real_complex_simple,simple,real_mt_padded,True,smooth-walled 13x12x7 surface wall papillary cyst wall,7
